

[链路预测]
[数据集 dataset=Citeseer]
[卷积块个数 blocks=4]
[DropEdge概率 dropedge=0.5]
[是否使用PairNorm norm=False]
[是否添加自环 selfloop=True]
[激活函数 act=ReLU()]

Data(x=[3327, 3703], edge_index=[2, 9104], y=[3327], train_mask=[3327], val_mask=[3327], test_mask=[3327])
【开始训练】
[epoch=1/500, train_loss=48.938107,train_auc=0.510157, verify_loss=50.009396,verify_auc=0.499998, time=0.651352 秒]
  [最佳准确率更新！]
[epoch=2/500, train_loss=49.067680,train_auc=0.509187, verify_loss=49.585270,verify_auc=0.499995, time=0.555846 秒]
[epoch=3/500, train_loss=48.759369,train_auc=0.511903, verify_loss=48.863670,verify_auc=0.506644, time=0.543260 秒]
  [最佳准确率更新！]
[epoch=4/500, train_loss=47.198948,train_auc=0.527406, verify_loss=46.768494,verify_auc=0.524202, time=0.556684 秒]
  [最佳准确率更新！]
[epoch=5/500, train_loss=45.988014,train_auc=0.538267, verify_loss=44.683228,verify_auc=0.533448, time=0.548473 秒]
  [最佳准确率更新！]
[epoch=6/500, train_loss=42.703983,train_auc=0.568858, verify_loss=41.539604,verify_auc=0.551520, time=0.542354 秒]
  [最佳准确率更新！]
[epoch=7/500, train_loss=39.340473,train_auc=0.598496, verify_loss=35.887440,verify_auc=0.596293, time=0.569521 秒]
  [最佳准确率更新！]
[epoch=8/500, train_loss=36.068958,train_auc=0.628482, verify_loss=31.506075,verify_auc=0.619464, time=0.535839 秒]
  [最佳准确率更新！]
[epoch=9/500, train_loss=31.938564,train_auc=0.663390, verify_loss=28.545706,verify_auc=0.645265, time=0.548167 秒]
  [最佳准确率更新！]
[epoch=10/500, train_loss=27.989536,train_auc=0.690027, verify_loss=26.986193,verify_auc=0.625557, time=0.540955 秒]
[epoch=11/500, train_loss=26.609516,train_auc=0.698566, verify_loss=27.209974,verify_auc=0.617800, time=0.550134 秒]
[epoch=12/500, train_loss=25.282381,train_auc=0.704935, verify_loss=24.811493,verify_auc=0.621710, time=0.522406 秒]
[epoch=13/500, train_loss=22.722885,train_auc=0.719535, verify_loss=23.018301,verify_auc=0.619174, time=0.575387 秒]
[epoch=14/500, train_loss=20.873297,train_auc=0.725510, verify_loss=20.364697,verify_auc=0.623821, time=0.627823 秒]
[epoch=15/500, train_loss=19.198843,train_auc=0.738376, verify_loss=18.867521,verify_auc=0.643309, time=0.731267 秒]
