[节点分类]
[数据集 dataset=Citeseer]
[卷积块个数 blocks=2]
[DropEdge概率 dropedge=0.1]
[是否使用PairNorm norm=True]
[是否添加自环 selfloop=True]
[激活函数 act=ReLU()]

Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.citeseer.x
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.citeseer.tx
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.citeseer.allx
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.citeseer.y
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.citeseer.ty
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.citeseer.ally
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.citeseer.graph
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.citeseer.test.index
Processing...
Done!
Data(x=[3327, 3703], edge_index=[2, 9104], y=[3327], train_mask=[3327], val_mask=[3327], test_mask=[3327])
【开始训练】
[epoch=1/300, train_loss=1.829604,train_acc=0.175000, verify_loss=1.535118,verify_acc=0.520000, time=0.291854 秒]
  [最佳准确率更新！]
[epoch=2/300, train_loss=1.008080,train_acc=0.950000, verify_loss=1.486249,verify_acc=0.600000, time=0.290030 秒]
  [最佳准确率更新！]
[epoch=3/300, train_loss=0.758299,train_acc=0.958333, verify_loss=1.507305,verify_acc=0.564000, time=0.270537 秒]
[epoch=4/300, train_loss=0.613540,train_acc=0.966667, verify_loss=1.545920,verify_acc=0.500000, time=0.304487 秒]
[epoch=5/300, train_loss=0.538130,train_acc=0.983333, verify_loss=1.583174,verify_acc=0.478000, time=0.260110 秒]
[epoch=6/300, train_loss=0.480144,train_acc=1.000000, verify_loss=1.610720,verify_acc=0.450000, time=0.262790 秒]
[epoch=7/300, train_loss=0.443531,train_acc=1.000000, verify_loss=1.634592,verify_acc=0.424000, time=0.285848 秒]
[epoch=8/300, train_loss=0.406075,train_acc=1.000000, verify_loss=1.649936,verify_acc=0.392000, time=0.288977 秒]
[epoch=9/300, train_loss=0.388086,train_acc=1.000000, verify_loss=1.661692,verify_acc=0.376000, time=0.305866 秒]
[epoch=10/300, train_loss=0.352212,train_acc=1.000000, verify_loss=1.668546,verify_acc=0.352000, time=0.253016 秒]
[epoch=11/300, train_loss=0.335386,train_acc=1.000000, verify_loss=1.673212,verify_acc=0.354000, time=0.289160 秒]
[epoch=12/300, train_loss=0.322743,train_acc=1.000000, verify_loss=1.675985,verify_acc=0.350000, time=0.276985 秒]
[epoch=13/300, train_loss=0.309130,train_acc=1.000000, verify_loss=1.674966,verify_acc=0.360000, time=0.293697 秒]
[epoch=14/300, train_loss=0.298128,train_acc=1.000000, verify_loss=1.674338,verify_acc=0.358000, time=0.268210 秒]
[epoch=15/300, train_loss=0.294378,train_acc=1.000000, verify_loss=1.673074,verify_acc=0.366000, time=0.266790 秒]
[epoch=16/300, train_loss=0.278763,train_acc=1.000000, verify_loss=1.672744,verify_acc=0.370000, time=0.265103 秒]
[epoch=17/300, train_loss=0.270589,train_acc=1.000000, verify_loss=1.669267,verify_acc=0.384000, time=0.286647 秒]
[epoch=18/300, train_loss=0.266283,train_acc=1.000000, verify_loss=1.670524,verify_acc=0.384000, time=0.267331 秒]
[epoch=19/300, train_loss=0.243663,train_acc=1.000000, verify_loss=1.672566,verify_acc=0.376000, time=0.299974 秒]
[epoch=20/300, train_loss=0.247049,train_acc=1.000000, verify_loss=1.672145,verify_acc=0.372000, time=0.309950 秒]
[epoch=21/300, train_loss=0.248488,train_acc=1.000000, verify_loss=1.673456,verify_acc=0.368000, time=0.274319 秒]
[epoch=22/300, train_loss=0.221571,train_acc=1.000000, verify_loss=1.676176,verify_acc=0.358000, time=0.272271 秒]
[epoch=23/300, train_loss=0.224594,train_acc=1.000000, verify_loss=1.678898,verify_acc=0.354000, time=0.272334 秒]
[epoch=24/300, train_loss=0.229826,train_acc=1.000000, verify_loss=1.681504,verify_acc=0.360000, time=0.286824 秒]
[epoch=25/300, train_loss=0.224405,train_acc=1.000000, verify_loss=1.683323,verify_acc=0.354000, time=0.266178 秒]
[epoch=26/300, train_loss=0.222647,train_acc=1.000000, verify_loss=1.686525,verify_acc=0.348000, time=0.291981 秒]
[epoch=27/300, train_loss=0.212937,train_acc=1.000000, verify_loss=1.687377,verify_acc=0.344000, time=0.321713 秒]
[epoch=28/300, train_loss=0.215496,train_acc=1.000000, verify_loss=1.687451,verify_acc=0.340000, time=0.315032 秒]
[epoch=29/300, train_loss=0.210099,train_acc=1.000000, verify_loss=1.690364,verify_acc=0.330000, time=0.273130 秒]
[epoch=30/300, train_loss=0.199723,train_acc=1.000000, verify_loss=1.689560,verify_acc=0.330000, time=0.370469 秒]
[epoch=31/300, train_loss=0.198956,train_acc=1.000000, verify_loss=1.694234,verify_acc=0.324000, time=0.334966 秒]
[epoch=32/300, train_loss=0.205747,train_acc=1.000000, verify_loss=1.691616,verify_acc=0.316000, time=0.335573 秒]
[epoch=33/300, train_loss=0.199697,train_acc=1.000000, verify_loss=1.694315,verify_acc=0.322000, time=0.366971 秒]
[epoch=34/300, train_loss=0.186629,train_acc=1.000000, verify_loss=1.696126,verify_acc=0.308000, time=0.402140 秒]
[epoch=35/300, train_loss=0.192182,train_acc=1.000000, verify_loss=1.695685,verify_acc=0.302000, time=0.341060 秒]
[epoch=36/300, train_loss=0.196323,train_acc=0.991667, verify_loss=1.696427,verify_acc=0.296000, time=0.392245 秒]
[epoch=37/300, train_loss=0.181033,train_acc=1.000000, verify_loss=1.698902,verify_acc=0.286000, time=0.268398 秒]
[epoch=38/300, train_loss=0.183333,train_acc=1.000000, verify_loss=1.696030,verify_acc=0.304000, time=0.256738 秒]
