[节点分类]
[数据集 dataset=Cora]
[卷积块个数 blocks=2]
[DropEdge概率 dropedge=0.1]
[是否使用PairNorm norm=True]
[是否添加自环 selfloop=True]
[激活函数 act=ReLU()]

Data(x=[2708, 1433], edge_index=[2, 10556], y=[2708], train_mask=[2708], val_mask=[2708], test_mask=[2708])
【开始训练】
[epoch=1/300, train_loss=1.947151,train_acc=0.200000, verify_loss=1.657128,verify_acc=0.568000, time=0.332912 秒]
  [最佳准确率更新！]
[epoch=2/300, train_loss=1.288581,train_acc=0.892857, verify_loss=1.555698,verify_acc=0.648000, time=0.201265 秒]
  [最佳准确率更新！]
[epoch=3/300, train_loss=1.082470,train_acc=0.971429, verify_loss=1.530403,verify_acc=0.672000, time=0.164263 秒]
  [最佳准确率更新！]
[epoch=4/300, train_loss=0.976633,train_acc=0.985714, verify_loss=1.533485,verify_acc=0.666000, time=0.136079 秒]
[epoch=5/300, train_loss=0.897249,train_acc=0.992857, verify_loss=1.545286,verify_acc=0.632000, time=0.169005 秒]
[epoch=6/300, train_loss=0.836128,train_acc=0.985714, verify_loss=1.559678,verify_acc=0.620000, time=0.139169 秒]
[epoch=7/300, train_loss=0.778813,train_acc=0.992857, verify_loss=1.574760,verify_acc=0.590000, time=0.128001 秒]
[epoch=8/300, train_loss=0.751643,train_acc=1.000000, verify_loss=1.590930,verify_acc=0.560000, time=0.123545 秒]
[epoch=9/300, train_loss=0.708656,train_acc=1.000000, verify_loss=1.605149,verify_acc=0.544000, time=0.131793 秒]
[epoch=10/300, train_loss=0.688957,train_acc=1.000000, verify_loss=1.617935,verify_acc=0.520000, time=0.125080 秒]
[epoch=11/300, train_loss=0.659089,train_acc=1.000000, verify_loss=1.625889,verify_acc=0.518000, time=0.145901 秒]
[epoch=12/300, train_loss=0.636075,train_acc=1.000000, verify_loss=1.632678,verify_acc=0.506000, time=0.125063 秒]
[epoch=13/300, train_loss=0.618120,train_acc=1.000000, verify_loss=1.642024,verify_acc=0.498000, time=0.154296 秒]
[epoch=14/300, train_loss=0.599640,train_acc=1.000000, verify_loss=1.643933,verify_acc=0.484000, time=0.148265 秒]
[epoch=15/300, train_loss=0.566165,train_acc=1.000000, verify_loss=1.651228,verify_acc=0.474000, time=0.148127 秒]
[epoch=16/300, train_loss=0.552615,train_acc=1.000000, verify_loss=1.653823,verify_acc=0.462000, time=0.156988 秒]
[epoch=17/300, train_loss=0.554189,train_acc=1.000000, verify_loss=1.655659,verify_acc=0.480000, time=0.141159 秒]
[epoch=18/300, train_loss=0.530430,train_acc=1.000000, verify_loss=1.663681,verify_acc=0.472000, time=0.143262 秒]
[epoch=19/300, train_loss=0.519659,train_acc=1.000000, verify_loss=1.665937,verify_acc=0.474000, time=0.155840 秒]
[epoch=20/300, train_loss=0.506396,train_acc=1.000000, verify_loss=1.672544,verify_acc=0.462000, time=0.138353 秒]
[epoch=21/300, train_loss=0.509822,train_acc=1.000000, verify_loss=1.677355,verify_acc=0.460000, time=0.126600 秒]
[epoch=22/300, train_loss=0.497384,train_acc=1.000000, verify_loss=1.683705,verify_acc=0.454000, time=0.124748 秒]
[epoch=23/300, train_loss=0.485526,train_acc=1.000000, verify_loss=1.692773,verify_acc=0.434000, time=0.125077 秒]
[epoch=24/300, train_loss=0.481477,train_acc=1.000000, verify_loss=1.696019,verify_acc=0.426000, time=0.144836 秒]
[epoch=25/300, train_loss=0.470702,train_acc=1.000000, verify_loss=1.696905,verify_acc=0.426000, time=0.134237 秒]
[epoch=26/300, train_loss=0.463379,train_acc=1.000000, verify_loss=1.698764,verify_acc=0.408000, time=0.141186 秒]
[epoch=27/300, train_loss=0.451885,train_acc=1.000000, verify_loss=1.703233,verify_acc=0.406000, time=0.152799 秒]
[epoch=28/300, train_loss=0.448552,train_acc=1.000000, verify_loss=1.704822,verify_acc=0.406000, time=0.136237 秒]
[epoch=29/300, train_loss=0.434317,train_acc=1.000000, verify_loss=1.707549,verify_acc=0.404000, time=0.149801 秒]
[epoch=30/300, train_loss=0.427838,train_acc=1.000000, verify_loss=1.709390,verify_acc=0.406000, time=0.128228 秒]
[epoch=31/300, train_loss=0.421183,train_acc=1.000000, verify_loss=1.711325,verify_acc=0.406000, time=0.137667 秒]
[epoch=32/300, train_loss=0.419890,train_acc=1.000000, verify_loss=1.709772,verify_acc=0.408000, time=0.135567 秒]
